Date,AAP,Prediction AAP,Outcome AAP,ABBV,Prediction ABBV,Outcome ABBV,ABT,Prediction ABT,Outcome ABT,ACN,Prediction ACN,Outcome ACN,ADBE,Prediction ADBE,Outcome ADBE
2019-04-15,181.43,0.0,True,81.03,1.0,False,77.5,1.0,True,179.3,1.0,True,272.22,0.0,False
2019-04-16,179.95,,,80.21,,,76.38,,,179.06,,,271.43,,
2019-04-17,176.81,,,77.98,,,72.88,,,178.95,,,269.45,,
2019-04-18,175.4,,,77.57,,,73.92,,,178.61,,,270.57,,
2019-04-22,170.08,,,78.15,,,74.51,,,178.07,,,272.21,,
2019-04-23,172.47,,,78.66,,,76.1,,,180.48,,,278.49,,
2019-04-24,171.86,,,78.67,,,76.75,,,180.81,,,275.45,,
2019-04-25,170.64,,,79.34,,,78.11,,,179.95,,,277.66,,
2019-04-26,170.19,,,79.7,,,78.56,,,180.83,,,281.96,,
2019-04-29,166.77,,,80.3,,,78.27,,,181.21,,,286.14,,
2019-04-30,166.32,,,79.39,,,79.56,,,182.67,,,289.25,,
2019-05-01,163.83,,,78.89,,,78.74,,,181.31,,,283.35,,
2019-05-02,166.78,,,78.47,,,78.78,,,179.39,,,279.64,,
2019-05-03,163.27,,,78.71,,,78.69,,,176.98,,,285.58,,
2019-05-06,161.99,,,79.26,,,79.07,,,176.26,,,283.66,,
2019-05-07,160.66,,,77.95,,,76.91,,,173.94,,,277.07,,
2019-05-08,158.62,,,77.99,,,76.22,,,173.82,,,276.77,,
2019-05-09,159.89,,,77.91,,,76.42,,,174.46,,,275.79,,
2019-05-10,158.12,,,77.45,,,76.45,,,174.3,,,278.48,,
2019-05-13,155.37,,,76.87,,,75.5,,,171.02,,,267.7,,
2019-05-14,155.75,,,78.44,,,76.03,,,173.61,,,271.86,,
2019-05-15,155.83,,,78.78,,,76.51,,,175.4,,,276.82,,
2019-05-16,157.28,,,79.5,,,76.6,,,178.17,,,283.55,,
2019-05-17,157.97,,,79.46,,,75.97,,,178.33,,,279.85,,
2019-05-20,158.64,,,79.82,,,75.77,,,178.54,,,275.45,,
2019-05-21,161.3,,,80.88,,,76.03,,,179.57,,,278.07,,
2019-05-22,166.29,,,81.59,,,76.26,,,180.39,,,281.82,,
2019-05-23,159.8,,,81.15,,,75.63,,,178.27,,,274.25,,
2019-05-24,158.09,,,80.06,,,76.98,,,178.81,,,274.77,,
2019-05-28,154.56,,,78.03,,,75.71,,,178.39,,,278.25,,
2019-05-29,155.78,,,78.06,,,75.67,,,177.61,,,273.38,,
2019-05-30,159.39,,,77.61,,,76.52,,,178.82,,,274.51,,
2019-05-31,155.0,,,76.71,,,76.13,,,178.07,,,270.9,,
2019-06-03,153.17,,,75.7,,,75.71,,,175.16,,,259.03,,
2019-06-04,154.61,,,76.75,,,77.46,,,177.97,,,268.71,,
2019-06-05,154.61,,,77.06,,,78.69,,,179.56,,,272.86,,
2019-06-06,154.9,,,77.07,,,80.09,,,180.4,,,274.8,,
2019-06-07,155.35,,,77.43,,,80.74,,,182.92,,,278.16,,
2019-06-10,153.52,,,76.95,,,81.27,,,184.44,,,280.34,,
2019-06-11,152.17,,,78.17,,,81.12,,,183.37,,,275.99,,
2019-06-12,150.54,,,78.57,,,81.95,,,184.59,,,276.84,,
2019-06-13,150.61,,,78.95,,,82.29,,,184.95,,,276.3,,
2019-06-14,151.8,,,78.69,,,82.22,,,184.97,,,274.28,,
2019-06-17,151.74,,,78.65,,,82.05,,,183.9,,,275.6,,
2019-06-18,154.83,,,78.25,,,83.42,,,184.5,,,276.78,,
2019-06-19,153.77,,,77.61,,,84.33,,,183.95,,,291.21,,
2019-06-20,153.27,,,78.34,,,84.94,,,186.52,,,302.11,,
2019-06-21,153.24,,,78.78,,,85.0,,,185.56,,,299.33,,
2019-06-24,152.33,,,78.45,,,84.71,,,186.11,,,299.87,,
2019-06-25,154.5,,,65.7,,,84.24,,,184.9,,,287.97,,
2019-06-26,149.93,,,68.0,,,82.96,,,183.31,,,288.72,,
2019-06-27,151.71,,,70.0,,,83.69,,,183.0,,,293.23,,
2019-06-28,154.14,,,72.72,,,84.1,,,184.77,,,294.65,,
2019-07-01,156.59,,,73.4,,,84.49,,,186.87,,,300.97,,
2019-07-02,159.79,,,74.23,,,84.95,,,188.6,,,301.39,,
2019-07-03,160.63,,,74.96,,,85.64,,,190.97,,,305.7,,
2019-07-05,160.62,,,72.99,,,85.42,,,191.39,,,303.98,,
2019-07-08,158.19,,,71.22,,,85.09,,,190.31,,,302.92,,
2019-07-09,155.5,,,71.24,,,85.27,,,191.09,,,304.2,,
2019-07-10,156.43,,,71.65,,,85.38,,,191.71,,,306.98,,
2019-07-11,156.29,,,71.24,,,85.77,,,194.67,,,307.6,,
2019-07-12,158.58,,,70.28,,,83.92,,,196.21,,,309.42,,
2019-07-15,158.92,,,70.27,,,83.81,,,195.32,,,308.76,,
2019-07-16,161.76,,,69.16,,,83.16,,,194.25,,,305.7,,
2019-07-17,157.67,,,68.32,,,85.76,,,193.81,,,309.39,,
2019-07-18,157.9,,,68.25,,,87.76,,,194.82,,,310.08,,
2019-07-19,156.93,,,68.54,,,87.49,,,193.93,,,306.87,,
2019-07-22,158.9,,,68.0,,,88.07,,,194.44,,,308.55,,
2019-07-23,157.64,,,67.73,,,88.74,,,194.46,,,307.88,,
2019-07-24,158.5,,,67.46,,,88.59,,,194.47,,,310.27,,
2019-07-25,150.03,,,66.66,,,88.0,,,194.97,,,308.73,,
2019-07-26,152.62,,,67.76,,,87.75,,,196.93,,,311.27,,
2019-07-29,153.04,,,67.18,,,88.55,,,197.35,,,307.22,,
2019-07-30,151.8,,,67.18,,,88.31,,,195.65,,,303.64,,
2019-07-31,150.64,,,66.62,,,87.1,,,192.58,,,298.86,,
2019-08-01,149.95,,,65.8,,,86.08,,,194.16,,,298.44,,
2019-08-02,145.78,,,65.35,,,85.82,,,193.01,,,293.71,,
2019-08-05,143.16,,,65.23,,,83.16,,,185.55,,,280.36,,
2019-08-06,145.64,,,64.77,,,84.86,,,188.81,,,286.21,,
2019-08-07,144.04,,,64.46,,,84.6,,,188.87,,,289.02,,
2019-08-08,144.43,,,65.45,,,85.56,,,194.18,,,297.78,,
2019-08-09,144.33,,,65.58,,,86.62,,,191.48,,,294.83,,
2019-08-12,142.16,,,64.53,,,84.66,,,190.0,,,288.65,,
2019-08-13,142.23,,,65.01,,,86.89,,,192.88,,,293.17,,
2019-08-14,136.49,,,63.5,,,83.94,,,186.97,,,283.66,,
2019-08-15,137.5,,,62.98,,,83.94,,,189.56,,,282.71,,
2019-08-16,136.59,,,64.43,,,84.78,,,193.22,,,287.45,,
2019-08-19,136.35,,,66.56,,,85.56,,,195.18,,,287.97,,
2019-08-20,135.38,,,66.41,,,84.54,,,194.2,,,285.71,,
2019-08-21,136.23,,,67.54,,,84.9,,,195.73,,,291.53,,
2019-08-22,137.5,,,67.52,,,84.37,,,196.34,,,287.69,,
2019-08-23,135.05,,,65.97,,,81.93,,,192.81,,,282.44,,
2019-08-26,135.0,,,66.46,,,83.12,,,195.47,,,288.74,,
2019-08-27,134.89,,,65.67,,,83.65,,,197.16,,,289.45,,
2019-08-28,136.76,,,66.07,,,84.22,,,196.84,,,282.13,,
2019-08-29,138.07,,,66.22,,,84.82,,,198.74,,,286.63,,
2019-08-30,137.95,,,65.74,,,85.32,,,198.17,,,284.51,,
2019-09-03,140.36,,,65.4,,,84.06,,,195.75,,,282.45,,
2019-09-04,141.89,,,66.38,,,84.22,,,197.71,,,284.6,,
2019-09-05,146.55,,,67.03,,,85.9,,,199.49,,,287.75,,
2019-09-06,147.21,0.0,True,67.62,1.0,True,86.04,1.0,True,201.12,1.0,True,284.94,1.0,True
2019-09-09,147.43,,,66.7,,,84.22,,,194.83,,,279.3,,
2019-09-10,154.7,,,68.18,,,83.21,,,189.66,,,276.14,,
2019-09-11,158.86,,,69.49,,,84.52,,,191.37,,,277.78,,
2019-09-12,155.2,,,70.83,,,85.21,,,195.52,,,278.02,,
2019-09-13,157.0,,,70.51,,,84.27,,,194.62,,,278.35,,
2019-09-16,156.07,,,70.58,,,83.36,,,194.16,,,282.93,,
2019-09-17,156.07,,,71.6,,,83.58,,,194.95,,,284.69,,
2019-09-18,153.79,,,71.27,,,83.64,,,194.13,,,279.72,,
2019-09-19,152.8,,,71.67,,,83.23,,,194.67,,,281.26,,
2019-09-20,155.69,,,72.39,,,83.58,,,193.09,,,277.91,,
2019-09-23,161.22,,,72.93,,,83.16,,,192.84,,,277.44,,
2019-09-24,159.22,,,72.95,,,82.44,,,190.14,,,272.47,,
2019-09-25,162.28,,,72.09,,,82.86,,,190.87,,,277.43,,
2019-09-26,160.38,,,74.03,,,82.66,,,192.12,,,283.81,,
2019-09-27,161.68,,,74.85,,,81.84,,,191.38,,,277.54,,
2019-09-30,165.4,,,75.72,,,83.67,,,192.35,,,276.25,,
2019-10-01,167.29,,,73.23,,,81.84,,,189.62,,,272.71,,
2019-10-02,162.96,,,72.13,,,79.53,,,184.85,,,266.66,,
2019-10-03,159.86,,,73.85,,,81.07,,,185.81,,,272.4,,
2019-10-04,159.94,,,74.66,,,81.99,,,189.64,,,276.96,,
2019-10-07,158.27,,,74.33,,,81.04,,,186.81,,,276.9,,
2019-10-08,154.33,,,73.53,,,78.51,,,182.2,,,270.83,,
2019-10-09,154.41,,,73.3,,,79.5,,,184.34,,,274.27,,
2019-10-10,155.95,,,74.45,,,80.14,,,183.83,,,274.98,,
2019-10-11,158.56,,,73.63,,,79.63,,,184.97,,,278.29,,
2019-10-14,157.32,,,73.76,,,79.82,,,185.5,,,277.78,,
2019-10-15,159.73,,,74.5,,,81.98,,,187.0,,,279.39,,
2019-10-16,162.75,,,74.75,,,81.78,,,186.57,,,272.7,,
2019-10-17,163.75,,,75.14,,,82.38,,,186.04,,,269.24,,
2019-10-18,163.5,,,76.46,,,82.79,,,187.08,,,265.52,,
2019-10-21,166.03,,,77.3,,,81.65,,,187.34,,,266.84,,
2019-10-22,165.98,,,77.87,,,80.54,,,182.72,,,261.09,,
2019-10-23,165.12,,,77.75,,,81.27,,,184.07,,,261.32,,
2019-10-24,166.81,,,76.8,,,81.36,,,185.0,,,269.7,,
2019-10-25,165.56,,,76.53,,,81.65,,,183.07,,,270.98,,
2019-10-28,166.41,,,78.33,,,82.66,,,182.87,,,271.35,,
2019-10-29,164.35,,,78.47,,,83.45,,,184.8,,,271.45,,
2019-10-30,163.97,,,79.66,,,84.01,,,186.58,,,278.41,,
2019-10-31,162.48,,,79.55,,,83.61,,,185.42,,,277.93,,
2019-11-01,164.82,,,81.75,,,82.66,,,188.22,,,277.82,,
2019-11-04,166.61,,,82.99,,,82.22,,,187.8,,,277.5,,
2019-11-05,168.14,,,81.84,,,82.34,,,186.88,,,289.29,,
2019-11-06,169.7,,,82.08,,,83.12,,,189.23,,,287.4,,
2019-11-07,169.28,,,82.01,,,83.39,,,189.09,,,290.77,,
2019-11-08,167.4,,,85.21,,,83.74,,,189.7,,,292.46,,
2019-11-11,168.82,,,85.66,,,83.76,,,190.06,,,290.27,,
2019-11-12,156.14,,,86.44,,,84.34,,,191.43,,,291.72,,
2019-11-13,158.58,,,86.66,,,84.22,,,194.5,,,293.54,,
2019-11-14,156.83,,,87.63,,,84.12,,,196.25,,,294.53,,
2019-11-15,162.66,,,88.63,,,85.71,,,196.81,,,297.5,,
2019-11-18,163.67,,,88.73,,,84.26,,,198.02,,,297.16,,
2019-11-19,161.98,,,89.02,,,84.29,,,198.34,,,300.6,,
2019-11-20,161.74,,,87.2,,,83.89,,,197.71,,,300.1,,
2019-11-21,158.33,,,86.52,,,83.68,,,196.78,,,298.8,,
2019-11-22,157.87,,,86.05,,,83.74,,,196.66,,,299.3,,
2019-11-25,159.15,,,87.76,,,84.49,,,198.36,,,305.28,,
2019-11-26,157.09,,,87.72,,,85.42,,,200.92,,,307.9,,
2019-11-27,158.78,,,88.33,,,85.42,,,201.25,,,309.06,,
2019-11-29,157.08,,,87.73,,,85.45,,,201.16,,,309.53,,
2019-12-02,156.55,,,87.03,,,84.51,,,199.59,,,302.75,,
2019-12-03,152.61,,,85.95,,,84.36,,,198.75,,,303.91,,
2019-12-04,152.33,,,87.2,,,85.18,,,199.58,,,302.51,,
2019-12-05,152.29,,,86.72,,,85.24,,,199.85,,,303.03,,
2019-12-06,154.62,,,86.98,,,85.48,,,202.55,,,306.23,,
2019-12-09,151.57,,,86.44,,,83.87,,,202.03,,,307.05,,
2019-12-10,156.17,,,86.56,,,84.56,,,201.88,,,304.17,,
2019-12-11,155.9,,,86.7,,,84.91,,,202.3,,,303.74,,
2019-12-12,156.12,,,88.73,,,85.97,,,203.92,,,305.96,,
2019-12-13,155.21,,,87.84,,,86.35,,,206.66,,,317.94,,
2019-12-16,153.5,,,89.43,,,86.4,,,205.0,,,323.8,,
2019-12-17,157.98,,,90.08,,,87.06,,,203.4,,,322.85,,
2019-12-18,158.03,,,89.33,,,86.93,,,205.76,,,324.38,,
2019-12-19,156.48,,,88.77,,,87.35,,,208.3,,,327.63,,
2019-12-20,158.12,,,89.29,,,86.66,,,211.1,,,327.61,,
2019-12-23,159.97,,,90.25,,,87.35,,,210.83,,,328.95,,
2019-12-24,160.57,,,89.85,,,87.28,,,211.61,,,329.64,,
2019-12-26,159.27,,,89.83,,,87.28,,,212.05,,,331.2,,
2019-12-27,158.35,,,89.2,,,87.4,,,212.22,,,330.79,,
2019-12-30,159.12,,,88.52,,,86.8,,,210.64,,,328.34,,
2019-12-31,160.16,,,88.54,,,86.86,,,210.57,,,329.81,,
2020-01-02,159.41,,,89.55,,,86.95,,,210.15,,,334.43,,
2020-01-03,159.42,,,88.7,,,85.89,,,209.8,,,331.81,,
2020-01-06,156.8,,,89.4,,,86.34,,,208.43,,,333.71,,
2020-01-07,154.94,,,88.89,,,85.86,,,203.93,,,333.39,,
2020-01-08,153.16,,,89.52,,,86.21,,,204.33,,,337.87,,
2020-01-09,152.87,,,90.21,,,86.44,,,206.15,,,340.45,,
2020-01-10,149.01,,,89.06,,,85.36,,,207.66,,,339.81,,
2020-01-13,145.26,,,88.52,,,85.12,,,209.59,,,345.63,,
2020-01-14,148.9,,,88.2,,,85.74,,,207.73,,,344.63,,
2020-01-15,150.21,,,89.26,,,87.38,,,207.26,,,342.94,,
2020-01-16,151.94,,,89.26,,,88.28,,,208.98,,,345.38,,
2020-01-17,151.05,,,88.0,,,89.0,,,209.2,,,349.74,,
2020-01-21,149.0,,,87.99,,,89.73,,,209.15,,,350.0,,
2020-01-22,147.65,,,87.21,,,91.86,,,209.41,,,350.06,,
2020-01-23,149.73,,,85.27,,,90.73,,,210.68,,,351.76,,
2020-01-24,141.68,,,83.54,,,90.4,,,208.57,,,351.37,,
2020-01-27,139.06,,,84.02,,,89.59,,,206.55,,,346.9,,
2020-01-28,138.58,,,83.77,,,89.54,,,210.24,,,354.63,,
2020-01-29,138.55,,,83.2,,,89.14,,,207.96,,,351.66,,
2020-01-30,135.27,,,81.78,,,89.16,,,208.37,,,356.74,,
2020-01-31,131.75,,,81.02,,,87.14,,,205.21,,,351.14,,
2020-02-03,132.65,,,82.3,,,87.06,,,207.8,,,358.0,,
2020-02-04,131.56,,,84.36,,,88.23,,,212.53,,,366.74,,
2020-02-05,137.02,,,86.63,,,89.56,,,212.22,,,365.55,,
2020-02-06,134.37,,,87.18,,,89.47,,,214.16,,,367.46,,
2020-02-07,132.93,,,92.29,,,87.87,,,211.58,,,366.09,,
2020-02-10,130.68,,,94.75,,,88.3,,,212.55,,,370.0,,
2020-02-11,132.11,,,96.0,,,89.17,,,212.14,,,369.28,,
2020-02-12,134.32,,,97.79,,,88.79,,,211.99,,,374.29,,
2020-02-13,134.67,,,95.35,,,88.68,,,212.4,,,374.84,,
2020-02-14,133.59,,,94.05,,,89.66,,,212.37,,,379.67,,
2020-02-18,141.81,,,93.61,,,88.88,,,213.76,,,378.85,,
2020-02-19,140.12,,,94.14,,,89.36,,,215.92,,,383.28,,
2020-02-20,142.48,,,94.23,,,88.46,,,213.9,,,378.96,,
2020-02-21,140.61,,,94.96,,,87.45,,,211.89,,,372.95,,
2020-02-24,139.91,,,93.14,,,84.63,,,204.36,,,357.41,,
2020-02-25,137.6,,,89.18,,,81.13,,,197.1,,,347.8,,
2020-02-26,134.54,,,88.41,,,81.36,,,195.67,,,351.34,,
2020-02-27,134.13,,,85.42,,,79.19,,,186.44,,,337.52,,
2020-02-28,132.98,,,85.71,,,77.03,,,180.59,,,345.12,,
2020-03-02,132.99,,,88.69,,,81.61,,,189.55,,,360.28,,
2020-03-03,130.33,,,87.57,,,77.99,,,182.22,,,348.34,,
2020-03-04,132.9,,,91.75,,,82.09,,,188.86,,,363.85,,
2020-03-05,126.92,,,90.61,,,80.52,,,182.56,,,351.03,,
2020-03-06,127.91,,,88.82,,,81.74,,,178.75,,,336.77,,
2020-03-09,130.36,,,85.27,,,77.02,,,164.11,,,305.79,,
2020-03-10,135.2,,,87.53,,,80.88,,,174.56,,,332.38,,
2020-03-11,125.62,,,84.85,,,78.09,,,165.11,,,315.23,,
2020-03-12,109.17,,,78.61,,,74.74,,,152.53,,,285.0,,
2020-03-13,113.69,,,85.37,,,81.65,,,166.51,,,335.5,,
2020-03-16,95.25,,,74.27,,,73.66,,,152.54,,,286.03,,
2020-03-17,100.25,,,73.02,,,79.49,,,157.71,,,311.81,,
2020-03-18,88.74,,,71.03,,,79.26,,,151.15,,,294.61,,
2020-03-19,85.97,,,71.06,,,74.5,,,158.5,,,307.51,,
2020-03-20,75.03,,,68.82,,,68.0,,,149.94,,,295.34,,
2020-03-23,78.5,,,64.5,,,62.82,,,143.69,,,307.27,,
2020-03-24,86.38,,,67.49,,,69.69,,,156.85,,,310.0,,
2020-03-25,90.37,,,67.91,,,70.75,,,151.82,,,305.91,,
2020-03-26,97.12,,,73.83,,,75.81,,,171.34,,,322.67,,
2020-03-27,95.6,,,72.67,,,74.56,,,162.88,,,305.83,,
2020-03-30,96.5,,,75.24,,,79.34,,,169.82,,,318.39,,
2020-03-31,93.32,,,76.19,,,78.91,,,163.26,,,318.24,,
2020-04-01,89.17,,,73.42,,,76.57,,,154.68,,,301.21,,
2020-04-02,88.41,,,75.13,,,79.44,,,156.27,,,303.96,,
2020-04-03,84.65,,,73.37,,,79.45,,,152.15,,,293.61,,
2020-04-06,95.81,,,75.73,,,82.73,,,166.05,,,319.13,,
2020-04-07,99.44,,,75.39,,,81.93,,,164.12,,,308.93,,
2020-04-08,102.52,,,78.56,,,84.95,,,171.73,,,317.18,,
2020-04-09,106.86,,,79.75,,,86.04,,,177.92,,,318.7,,
